Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6386941,WHOSIS_000001,COUNTRY,DEU,YEAR,EUR,Europe,SEX,SEX_BTSX,2019,,,,,,,81.0 [80.9-81.0],80.97360663,80.91390453,81.03330873,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6401431,WHOSIS_000001,COUNTRY,PRT,YEAR,EUR,Europe,SEX,SEX_FMLE,2018,,,,,,,83.9 [83.9-84.0],83.91042383,83.89197334,83.98876426,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
6419896,WHOSIS_000001,COUNTRY,ESP,YEAR,EUR,Europe,SEX,SEX_FMLE,2018,,,,,,,85.3 [85.3-85.4],85.32106648,85.31789374,85.37817552,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
6474532,WHOSIS_000001,COUNTRY,ESP,YEAR,EUR,Europe,SEX,SEX_FMLE,2019,,,,,,,85.7 [85.7-85.7],85.66031336,85.65876106,85.71778781,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6495437,WHOSIS_000001,COUNTRY,NLD,YEAR,EUR,Europe,SEX,SEX_FMLE,2017,,,,,,,83.0 [83.0-83.1],83.00502443,82.99429301,83.08043404,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6592727,WHOSIS_000001,COUNTRY,ROU,YEAR,EUR,Europe,SEX,SEX_BTSX,2016,,,,,,,75.1 [75.1-75.2],75.08359177,75.05378933,75.17910003,,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6633686,WHOSIS_000001,COUNTRY,ITA,YEAR,EUR,Europe,SEX,SEX_BTSX,2021,,,,,,,82.2 [82.2-82.3],82.19747411,82.19536272,82.26001123,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6715540,WHOSIS_000001,COUNTRY,FRA,YEAR,EUR,Europe,SEX,SEX_MLE,2018,,,,,,,79.6 [79.6-79.6],79.57958954,79.57077819,79.64876448,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
6735653,WHOSIS_000001,COUNTRY,ROU,YEAR,EUR,Europe,SEX,SEX_MLE,2019,,,,,,,71.8 [71.7-71.9],71.77610691,71.73601791,71.86335755,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6746647,WHOSIS_000001,COUNTRY,NLD,YEAR,EUR,Europe,SEX,SEX_BTSX,2015,,,,,,,81.3 [81.3-81.4],81.28069061,81.27441117,81.35643542,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6869326,WHOSIS_000001,COUNTRY,DEU,YEAR,EUR,Europe,SEX,SEX_MLE,2017,,,,,,,78.5 [78.4-78.6],78.50647209,78.44970282,78.56324135,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6870293,WHOSIS_000001,COUNTRY,PRT,YEAR,EUR,Europe,SEX,SEX_FMLE,2021,,,,,,,83.9 [83.9-84.0],83.88307768,83.8550133,83.97670553,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
